,Date,Sun Score,Rain Score,Wind Score,Overall
158,20190608,6.0,8,4.0,5.5
159,20190609,5.0,10,8.0,7.8
160,20190610,1.0,6,7.0,5.2
161,20190611,6.0,10,7.0,7.5
162,20190612,1.0,2,8.0,4.8
163,20190613,3.0,8,6.0,5.8
164,20190614,7.0,8,7.0,7.2
165,20190615,3.0,8,8.0,6.8
166,20190616,5.0,10,7.0,7.2
167,20190617,9.0,10,7.0,8.2
168,20190618,6.0,10,8.0,8.0
169,20190619,3.0,7,8.0,6.5
170,20190620,5.0,10,7.0,7.2
171,20190621,8.0,9,7.0,7.8
172,20190622,8.0,10,7.0,8.0
173,20190623,7.0,10,7.0,7.8
174,20190624,8.0,10,7.0,8.0
175,20190625,7.0,10,7.0,7.8
176,20190626,5.0,10,7.0,7.2
177,20190627,10.0,10,7.0,8.5
178,20190628,9.0,10,7.0,8.2
179,20190629,10.0,10,8.0,9.0
180,20190630,8.0,10,7.0,8.0
181,20190701,8.0,10,7.0,8.0
182,20190702,7.0,10,7.0,7.8
183,20190703,6.0,10,7.0,7.5
184,20190704,9.0,10,8.0,8.8
185,20190705,7.0,10,7.0,7.8
186,20190706,3.0,4,8.0,5.8
187,20190707,6.0,10,7.0,7.5
188,20190708,2.0,10,7.0,6.5
189,20190709,4.0,10,8.0,7.5
190,20190710,0.0,3,8.0,4.8
191,20190711,5.0,10,7.0,7.2
192,20190712,3.0,5,7.0,5.5
193,20190713,2.0,10,7.0,6.5
194,20190714,1.0,8,7.0,5.8
195,20190715,0.0,10,8.0,6.5
196,20190716,4.0,10,8.0,7.5
197,20190717,7.0,10,8.0,8.2
198,20190718,2.0,9,7.0,6.2
199,20190719,3.0,10,8.0,7.2
200,20190720,4.0,5,6.0,5.2
201,20190721,7.0,10,7.0,7.8
202,20190722,8.0,10,6.0,7.5
203,20190723,9.0,10,7.0,8.2
204,20190724,8.0,10,7.0,8.0
205,20190725,9.0,10,7.0,8.2
206,20190726,7.0,10,7.0,7.8
207,20190727,0.0,8,7.0,5.5
208,20190728,0.0,5,7.0,4.8
209,20190729,7.0,10,8.0,8.2
210,20190730,7.0,10,6.0,7.2
211,20190731,3.0,6,6.0,5.2
212,20190801,5.0,9,7.0,7.0
213,20190802,4.0,8,6.0,6.0
214,20190803,3.0,10,8.0,7.2
215,20190804,4.0,10,8.0,7.5
216,20190805,5.0,10,6.0,6.8
217,20190806,6.0,10,7.0,7.5
218,20190807,7.0,9,6.0,7.0
219,20190808,8.0,10,7.0,8.0
220,20190809,2.0,5,7.0,5.2
221,20190810,6.0,10,4.0,6.0
222,20190811,2.0,10,6.0,6.0
223,20190812,2.0,5,7.0,5.2
224,20190813,5.0,8,7.0,6.8
225,20190814,3.0,4,7.0,5.2
226,20190815,3.0,9,6.0,6.0
227,20190816,1.0,10,7.0,6.2
228,20190817,1.0,8,6.0,5.2
229,20190818,3.0,10,7.0,6.8
230,20190819,6.0,10,6.0,7.0
231,20190820,7.0,8,7.0,7.2
232,20190821,8.0,10,8.0,8.5
233,20190822,9.0,10,7.0,8.2
234,20190823,8.0,10,8.0,8.5
235,20190824,9.0,10,8.0,8.8
236,20190825,8.0,10,8.0,8.5
237,20190826,8.0,10,8.0,8.5
238,20190827,8.0,10,8.0,8.5
239,20190828,2.0,8,7.0,6.0
240,20190829,4.0,10,7.0,7.0
241,20190830,7.0,10,7.0,7.8
242,20190831,6.0,9,7.0,7.2
243,20190901,6.0,8,7.0,7.0
244,20190902,7.0,10,7.0,7.8
245,20190903,3.0,10,7.0,6.8
246,20190904,2.0,4,6.0,4.5
247,20190905,3.0,8,6.0,5.8
248,20190906,1.0,7,6.0,5.0
249,20190907,2.0,5,7.0,5.2
250,20190908,4.0,9,8.0,7.2
251,20190909,4.0,10,8.0,7.5
252,20190910,4.0,10,8.0,7.5
253,20190911,0.0,2,6.0,3.5
254,20190912,6.0,10,6.0,7.0
255,20190913,6.0,10,7.0,7.5
256,20190914,8.0,10,8.0,8.5
257,20190915,6.0,10,7.0,7.5
258,20190916,1.0,8,8.0,6.2
259,20190917,4.0,10,7.0,7.0
260,20190918,4.0,10,8.0,7.5
261,20190919,2.0,10,8.0,7.0
262,20190920,7.0,10,7.0,7.8
263,20190921,8.0,10,7.0,8.0
264,20190922,5.0,8,7.0,6.8
265,20190923,4.0,10,7.0,7.0
266,20190924,0.0,3,6.0,3.8
267,20190925,1.0,5,6.0,4.5
268,20190926,0.0,3,6.0,3.8
269,20190927,2.0,8,6.0,5.5
270,20190928,3.0,8,5.0,5.2
271,20190929,1.0,3,5.0,3.5
272,20190930,4.0,8,7.0,6.5
273,20191001,1.0,8,7.0,5.8
274,20191002,4.0,6,7.0,6.0
275,20191003,3.0,6,8.0,6.2
276,20191004,1.0,3,7.0,4.5
277,20191005,4.0,10,7.0,7.0
278,20191006,0.0,0,6.0,3.0
279,20191007,0.0,9,7.0,5.8
