id,SW_lat,SW_lon,NE_lat,NE_lon
2523,50.74629229988042,5.615684134719261,50.803099187996445,5.705515663131215
2524,50.74629229988042,5.705515663131215,50.803099187996445,5.795347191543166
2525,50.74629229988042,5.795347191543166,50.803099187996445,5.885178719955118
2526,50.74629229988042,5.885178719955118,50.803099187996445,5.975010248367071
2527,50.74629229988042,5.975010248367071,50.803099187996445,6.064841776779024
2475,50.803099187996445,5.615684134719261,50.85983709455714,5.705515663131215
2476,50.803099187996445,5.705515663131215,50.85983709455714,5.795347191543166
2477,50.803099187996445,5.795347191543166,50.85983709455714,5.885178719955118
2478,50.803099187996445,5.885178719955118,50.85983709455714,5.975010248367071
2479,50.803099187996445,5.975010248367071,50.85983709455714,6.064841776779024
2480,50.803099187996445,6.064841776779024,50.85983709455714,6.1546733051909746
2427,50.85983709455714,5.615684134719261,50.91650604775712,5.705515663131215
2428,50.85983709455714,5.705515663131215,50.91650604775712,5.795347191543166
2429,50.85983709455714,5.795347191543166,50.91650604775712,5.885178719955118
2430,50.85983709455714,5.885178719955118,50.91650604775712,5.975010248367071
2431,50.85983709455714,5.975010248367071,50.91650604775712,6.064841776779024
2432,50.85983709455714,6.064841776779024,50.91650604775712,6.1546733051909746
2380,50.91650604775712,5.705515663131215,50.973106076026696,5.795347191543166
2381,50.91650604775712,5.795347191543166,50.973106076026696,5.885178719955118
2382,50.91650604775712,5.885178719955118,50.973106076026696,5.975010248367071
2383,50.91650604775712,5.975010248367071,50.973106076026696,6.064841776779024
2384,50.91650604775712,6.064841776779024,50.973106076026696,6.1546733051909746
2332,50.973106076026696,5.705515663131215,51.02963720803083,5.795347191543166
2333,50.973106076026696,5.795347191543166,51.02963720803083,5.885178719955118
2334,50.973106076026696,5.885178719955118,51.02963720803083,5.975010248367071
2335,50.973106076026696,5.975010248367071,51.02963720803083,6.064841776779024
2284,51.02963720803083,5.705515663131215,51.08609947266802,5.795347191543166
2285,51.02963720803083,5.795347191543166,51.08609947266802,5.885178719955118
2286,51.02963720803083,5.885178719955118,51.08609947266802,5.975010248367071
2287,51.02963720803083,5.975010248367071,51.08609947266802,6.064841776779024
2237,51.08609947266802,5.795347191543166,51.14249289906922,5.885178719955118
2238,51.08609947266802,5.885178719955118,51.14249289906922,5.975010248367071
2239,51.08609947266802,5.975010248367071,51.14249289906922,6.064841776779024
2240,51.08609947266802,6.064841776779024,51.14249289906922,6.1546733051909746
2187,51.14249289906922,5.615684134719261,51.198817516596804,5.705515663131215
2188,51.14249289906922,5.705515663131215,51.198817516596804,5.795347191543166
2189,51.14249289906922,5.795347191543166,51.198817516596804,5.885178719955118
2190,51.14249289906922,5.885178719955118,51.198817516596804,5.975010248367071
2191,51.14249289906922,5.975010248367071,51.198817516596804,6.064841776779024
2192,51.14249289906922,6.064841776779024,51.198817516596804,6.1546733051909746
2193,51.14249289906922,6.1546733051909746,51.198817516596804,6.244504833602927
2114,51.198817516596804,3.369895924420459,51.25507335484348,3.4597274528324107
2115,51.198817516596804,3.4597274528324107,51.25507335484348,3.5495589812443624
2118,51.198817516596804,3.729222038068267,51.25507335484348,3.8190535664802194
2119,51.198817516596804,3.8190535664802194,51.25507335484348,3.908885094892171
2120,51.198817516596804,3.908885094892171,51.25507335484348,3.998716623304124
2121,51.198817516596804,3.998716623304124,51.25507335484348,4.088548151716076
2138,51.198817516596804,5.52585260630731,51.25507335484348,5.615684134719261
2139,51.198817516596804,5.615684134719261,51.25507335484348,5.705515663131215
2140,51.198817516596804,5.705515663131215,51.25507335484348,5.795347191543166
2141,51.198817516596804,5.795347191543166,51.25507335484348,5.885178719955118
2142,51.198817516596804,5.885178719955118,51.25507335484348,5.975010248367071
2143,51.198817516596804,5.975010248367071,51.25507335484348,6.064841776779024
2144,51.198817516596804,6.064841776779024,51.25507335484348,6.1546733051909746
2066,51.25507335484348,3.369895924420459,51.311260443631156,3.4597274528324107
2067,51.25507335484348,3.4597274528324107,51.311260443631156,3.5495589812443624
2068,51.25507335484348,3.5495589812443624,51.311260443631156,3.6393905096563155
2069,51.25507335484348,3.6393905096563155,51.311260443631156,3.729222038068267
2070,51.25507335484348,3.729222038068267,51.311260443631156,3.8190535664802194
2071,51.25507335484348,3.8190535664802194,51.311260443631156,3.908885094892171
2072,51.25507335484348,3.908885094892171,51.311260443631156,3.998716623304124
2073,51.25507335484348,3.998716623304124,51.311260443631156,4.088548151716076
2074,51.25507335484348,4.088548151716076,51.311260443631156,4.178379680128028
2075,51.25507335484348,4.178379680128028,51.311260443631156,4.26821120853998
2086,51.25507335484348,5.166526492659501,51.311260443631156,5.256358021071454
2087,51.25507335484348,5.256358021071454,51.311260443631156,5.346189549483406
2088,51.25507335484348,5.346189549483406,51.311260443631156,5.436021077895358
2089,51.25507335484348,5.436021077895358,51.311260443631156,5.52585260630731
2090,51.25507335484348,5.52585260630731,51.311260443631156,5.615684134719261
2091,51.25507335484348,5.615684134719261,51.311260443631156,5.705515663131215
2092,51.25507335484348,5.705515663131215,51.311260443631156,5.795347191543166
2093,51.25507335484348,5.795347191543166,51.311260443631156,5.885178719955118
2094,51.25507335484348,5.885178719955118,51.311260443631156,5.975010248367071
2095,51.25507335484348,5.975010248367071,51.311260443631156,6.064841776779024
2096,51.25507335484348,6.064841776779024,51.311260443631156,6.1546733051909746
2097,51.25507335484348,6.1546733051909746,51.311260443631156,6.244504833602927
2017,51.311260443631156,3.2800643960085063,51.36737881300996,3.369895924420459
2018,51.311260443631156,3.369895924420459,51.36737881300996,3.4597274528324107
