id,Distance,Start_coordinates,End_coordinates
4373921.0,1812.2,"[51.728898, 4.437976]","[51.728918, 4.438033]"
10631478.0,1039.5,"[51.720169, 4.462523]","[51.720452, 4.476797]"
7334810.0,735.1,"[51.72746, 4.528255]","[51.72888, 4.517992]"
7366989.0,600.0,"[51.728831, 4.518364]","[51.727328, 4.526658]"
5710076.0,1162.1,"[51.718572, 4.538461]","[51.727162, 4.528915]"
10452104.0,458.1,"[51.727057, 4.529195]","[51.727353, 4.535004]"
10718158.0,654.0,"[51.721572, 4.537393]","[51.727323, 4.53552]"
7866856.0,324.9,"[51.718325, 4.538752]","[51.721025, 4.537489]"
9900677.0,1268.5,"[51.71534, 4.568136]","[51.713626, 4.585308]"
9900653.0,2463.7,"[51.715766, 4.551297]","[51.71387, 4.584673]"
5109317.0,1453.7,"[51.713694, 4.585621]","[51.716019, 4.566574]"
8093492.0,1123.5,"[51.724628, 4.556212]","[51.716035, 4.564732]"
9371038.0,486.8,"[51.718717, 4.582604]","[51.723037, 4.583724]"
19011525.0,419.5,"[51.712985, 4.58495]","[51.713065, 4.579489]"
9694656.0,614.8,"[51.710228, 4.632505]","[51.70747, 4.624856]"
9183363.0,2753.0,"[51.729333, 4.623937]","[51.716296, 4.593125]"
7017324.0,1519.2,"[51.716319, 4.593069]","[51.720896, 4.612677]"
14075892.0,267.8,"[51.702204, 4.620355]","[51.703128, 4.616869]"
4309678.0,823.7,"[51.703448, 4.62356]","[51.70363, 4.623826]"
7288814.0,871.9,"[51.703335, 4.623426]","[51.703381, 4.623394]"
5285963.0,1077.9,"[51.721848, 4.6336]","[51.712795, 4.639157]"
1374816.0,1309.0,"[51.71164999687521, 4.639536605548065]","[51.72147517238676, 4.633898532955264]"
10774895.0,588.2,"[51.706529, 4.644958]","[51.711178, 4.640916]"
5322364.0,2305.2,"[51.721848, 4.6336]","[51.702905, 4.646906]"
2237223.0,1052.9,"[51.7076721, 4.6426587]","[51.7164274, 4.6369488]"
5390465.0,1051.8,"[51.721674, 4.634363]","[51.71283, 4.639734]"
4615967.0,1617.7,"[51.713226, 4.639507]","[51.701688, 4.652365]"
11690451.0,2800.1,"[51.721313, 4.633776]","[51.72161, 4.634425]"
4790939.0,10180.3,"[51.712867, 4.639397]","[51.713189, 4.639462]"
8628038.0,21221.6,"[51.718382, 4.635775]","[51.718259, 4.63584]"
18386122.0,1040.1,"[51.732721, 3.841437]","[51.737573, 3.853938]"
11600515.0,3085.0,"[51.741268, 3.825728]","[51.756732, 3.852039]"
18386106.0,712.0,"[51.737965, 3.853411]","[51.739054, 3.844053]"
7700011.0,1839.4,"[51.753414, 3.830945]","[51.737717, 3.825839]"
1885597.0,3529.7,"[51.737699238583446, 3.825989691540599]","[51.756798662245274, 3.853018982335925]"
4192055.0,4306.6,"[51.755379, 3.854704]","[51.755342, 3.854875]"
4217521.0,1582.3,"[51.752504, 3.863974]","[51.753208, 3.863666]"
6052532.0,2288.5,"[51.754684, 3.855616]","[51.753005, 3.865402]"
4544996.0,1339.6,"[51.755402, 3.854894]","[51.755365, 3.854857]"
8677980.0,370.3,"[51.75347, 3.863933]","[51.753736, 3.861731]"
14504510.0,1325.3,"[51.729789, 3.907533]","[51.738566, 3.895526]"
13235745.0,1339.1,"[51.738488, 3.895583]","[51.729615, 3.907598]"
20284173.0,2414.7,"[51.742424, 3.888686]","[51.730379, 3.912258]"
5075624.0,1643.7,"[51.730647, 3.912012]","[51.739605, 3.896306]"
7765911.0,555.4,"[51.737017, 3.875728]","[51.734292, 3.882479]"
21934564.0,427.9,"[51.734499, 3.883056]","[51.737144, 3.887472]"
